Time,Irradiance,PAR,Red,Far Red,R:FR,Blue,UVB,Temperature,Condition
8,286.9043205,166.8361318,4.096420041,4.714984132,0.868808871,33.3131019,1.072660994,11,Sun
8.05,255.1724576,166.5813765,4.051538148,3.346875336,1.210543489,33.85278662,1.087487699,10.5,Sun
8.1,329.7883896,187.097658,4.911344827,5.781188548,0.849538946,35.56243899,1.147073944,10,Sun
8.15,294.4445649,167.5555566,4.0761616,5.00353665,0.814656089,33.7084219,1.025514752,9.5,Sun
8.2,324.2989573,184.4073859,4.835648552,5.771368653,0.837868596,34.8920145,1.054828385,9,Sun
8.25,280.1396732,160.0918204,3.854678122,4.695835406,0.820871643,32.38832408,0.984990703,9,Sun
8.3,278.4199942,160.4482992,3.905534072,4.649001658,0.840080163,32.22843327,0.929217228,8.5,Sun
8.35,277.3623655,160.7854486,3.957834003,4.584064969,0.863389596,32.16069322,0.945633138,8.5,Sun
8.4,321.6837941,185.7237556,5.075802093,5.659367565,0.896885038,33.99641116,0.892069725,8.5,Sun
8.45,533.1509357,301.303535,10.0983067,10.55103568,0.957091513,43.62291317,1.053617811,8.5,Sun
8.5,481.0186233,285.8164421,9.858207442,9.15336496,1.077003647,40.59449012,0.923261359,8.5,Sun
8.55,495.0323209,284.5257207,10.01802744,9.913121694,1.010582513,39.2182154,0.887262978,8,Sun
9,230.2141106,138.287396,3.356520796,3.544315985,0.947015111,28.21339724,0.717000854,7.5,Sun
9.05,222.3177986,136.1992129,3.245762248,3.302234566,0.982898756,28.02126515,0.687608133,7.5,Sun
9.1,192.5324303,126.7095989,2.969993367,2.370672798,1.25280611,26.63292189,0.696311148,7,Sun
9.15,207.4159394,129.4919759,3.120596686,2.951218863,1.057392498,26.73641727,0.664104593,7,Sun
9.2,289.7589996,179.6385281,5.431585962,4.797865036,1.132083942,30.46193518,0.669305955,7,Sun
9.25,261.3290615,160.9197592,4.947398046,4.465687218,1.107869361,26.71590255,0.547309434,7,Sun
9.3,282.3419368,171.9141669,5.174434786,4.810421605,1.075671783,29.09056365,0.586167393,7,Sun
9.35,238.640519,147.9362174,4.228908293,3.831635609,1.103682272,26.46343825,0.563960129,7,Sun
9.4,291.0064071,176.9133906,5.563468239,5.051141439,1.101427926,28.73682726,0.594834033,7,Sun
9.45,280.896791,168.5174629,5.488940376,5.020041845,1.093405303,26.55777565,0.521907225,7,Sun
9.5,231.1197386,143.2207056,4.240375539,3.751856783,1.130207197,25.18327999,0.483962777,7,Sun
9.55,250.0968572,153.433526,4.707290801,4.238336605,1.110645812,25.68049653,0.461433648,7,Sun
10,155.8723982,103.5152143,2.472103893,1.980845432,1.248004439,21.52738702,0.352127623,6.5,Sun
10.05,201.1488486,126.5961007,3.607498955,3.148558378,1.14576213,23.01965059,0.391683598,6.5,Sun
10.1,163.4143128,105.6462417,2.706581542,2.279554866,1.187328975,20.91490529,0.339044442,6.5,Sun
10.15,141.6424081,94.82461119,2.227240606,1.76611532,1.261095797,20.00846906,0.315499291,6.5,Sun
10.2,150.7313778,98.10308071,2.473842732,2.01616867,1.227001872,19.76388878,0.315486339,6.5,Sun
10.25,246.7614593,146.1273821,5.029023735,4.594438206,1.094589482,21.68373016,0.302151564,6,Sun
10.3,253.9615961,150.2116333,5.426931605,4.870021629,1.114354723,20.94994827,0.282403752,6,Sun
10.35,261.1557866,150.8083263,5.867889112,5.382730367,1.090132463,18.60653198,0.172978405,6,Sun
