Time,Irradiance,PAR,Red,Far Red,R:FR,Blue,UVB,Temperature,Condition
8.1,232.58537,132.54843,4.93548,4.45772,1.107175866,16.13916,0.35903,28.5,Sun
8.15,225.80207,129.33378,4.72236,4.306,1.096692987,16.10667,0.34029,28.5,Sun
8.2,209.89305,120.13032,4.34272,3.98,1.091135678,15.34629,0.31784,28.5,Sun
8.25,188.5825,108.0736,3.83982,3.53775,1.085384778,14.13094,0.29542,28,Sun
8.3,161.72996,92.8323,3.18376,2.95672,1.076787792,12.73017,0.27297,28,Sun
8.35,147.45535,85.32787,2.85406,2.62746,1.086242988,12.16645,0.25801,28,Sun
8.4,132.06659,76.16399,2.44446,2.32085,1.053260659,11.35878,0.24677,27.5,Sun
8.45,121.046,70.34942,2.198,2.07871,1.057386552,10.86395,0.23556,27.5,Sun
8.5,114.30739,67.12858,2.0881,1.9141,1.090904341,10.50004,0.22808,27,Sun
8.55,108.61102,65.77033,2.198,1.79468,1.224730871,9.61538,0.20191,27,Sun
9,208.87853,120.33184,4.49922,3.95735,1.136927489,14.35567,0.22809,26.5,Sun
9.05,215.03359,124.09983,4.71568,4.0994,1.150334195,14.40254,0.20192,26.5,Sun
9.1,157.99919,92.10901,3.40356,2.93092,1.161259946,11.41933,0.18695,26,Sun
9.15,160.39791,94.45287,3.51012,2.97935,1.178149596,11.63042,0.17947,26,Sun
9.2,189.5361,111.64545,4.27275,3.59913,1.187161897,13.22752,0.18695,25.5,Sun
9.25,192.29475,112.71618,4.37931,3.66041,1.196398764,13.01988,0.17198,26,Sun
9.3,157.07397,92.12656,3.51012,2.95995,1.185871383,10.9315,0.14581,25.5,Sun
9.35,165.56251,96.89616,3.72658,3.15043,1.182879797,11.30606,0.14208,25.5,Sun
9.4,186.73744,109.57378,4.27275,3.57327,1.19575347,12.46673,0.14955,25.5,Sun
9.45,148.88853,87.0835,3.39021,2.82763,1.198958138,10.15983,0.12712,25.5,Sun
9.5,130.86341,76.54551,2.96062,2.48868,1.189634666,8.95906,0.11216,25.5,Sun
9.55,133.61525,77.81203,3.07052,2.59843,1.181682785,8.76961,0.08971,25.5,Sun
10,146.20687,84.13988,3.39355,2.91157,1.165539554,9.15138,0.08973,25,Sun
10.05,138.09711,79.19673,3.18376,2.74693,1.159024802,8.56199,0.06355,24.5,Sun
10.1,123.4233,70.29621,2.84738,2.47578,1.150094112,7.61587,0.05981,24.5,Sun
10.15,108.66509,61.99817,2.51435,2.16267,1.162613806,6.7352,0.04859,24,Sun
