Time,CCA1,SIG5,BLRP,Condition
11,0.114228931,0.429282718,1.00695555,Ambient Conditions
11,0.094077922,0.223756268,0.979420298,Ambient Conditions
11,0.114228931,0.341510064,1.094293701,Ambient Conditions
11,0.13490353,0.40332088,1,Ambient Conditions
11,0.157126672,0.447512535,0.972654947,Ambient Conditions
11,0.126744935,1.071773463,1.257013375,Ambient Conditions
13,0.042688758,0.116629124,0.496546248,Ambient Conditions
13,0.0476956,0.117440344,0.646176415,Ambient Conditions
13,0.079109787,0.118257206,0.570381858,Ambient Conditions
13,0.064704058,0.124136562,0.628506687,Ambient Conditions
13,0.033492921,0.096054699,0.543367431,Ambient Conditions
15,0.051832472,0.098073012,0.895025071,Ambient Conditions
15,0.082469244,0.098755164,1.180992661,Ambient Conditions
15,0.060790934,0.096054699,0.586417475,Ambient Conditions
15,0.031906629,0.07588718,0.297301779,Ambient Conditions
15,0.044194174,0.066523136,0.574349177,Ambient Conditions
17,0.111878134,0.13030822,0.611320139,Ambient Conditions
17,0.063372467,0.055939067,0.503477775,Ambient Conditions
17,0.059539875,0.054033577,0.493116352,Ambient Conditions
17,0.045122787,0.069348092,0.570381858,Ambient Conditions
17,0.063372467,0.0625,0.590496331,Ambient Conditions
17,0.059539875,0.06886907,0.510506063,Ambient Conditions
19,0.716977624,0.169575541,0.77916458,Ambient Conditions
19,0.360982299,0.139660892,0.456915725,Ambient Conditions
19,0.456915725,0.088388348,0.351111219,Ambient Conditions
19,0.535886731,0.211686328,0.655196702,Ambient Conditions
19,0.363493129,0.231647015,0.578344092,Ambient Conditions
21,4.0278222,0.327598351,0.594603558,Ambient Conditions
21,3.160165247,0.295248165,0.460093825,Ambient Conditions
21,3.340351678,0.279321785,0.392292049,Ambient Conditions
21,4.084048503,0.299369676,0.435275282,Ambient Conditions
21,5.464161027,0.353553391,0.52123288,Ambient Conditions
21,3.580100284,0.301451957,0.460093825,Ambient Conditions
23,9.063071082,0.840896415,0.817902059,Ambient Conditions
23,13.36140671,0.901250463,1.484523571,Ambient Conditions
23,8.168097006,0.768437591,0.795536484,Ambient Conditions
23,17.1483754,1.028113827,1.310393404,Ambient Conditions
23,10.12605275,0.806641759,1.414213562,Ambient Conditions
25,11.15794933,0.835087919,1.094293701,Ambient Conditions
25,21.40684088,2.4794154,2.203810232,Ambient Conditions
25,21.85664411,1.385109468,1.741101127,Ambient Conditions
25,19.02731384,1.526259209,1.777685362,Ambient Conditions
27,19.29292524,2.828427125,0.318640157,Ambient Conditions
27,21.70566924,3.60500185,1.602139755,Ambient Conditions
27,17.3877578,3.655325801,4.789914818,Ambient Conditions
27,7.110741449,2.114036081,2.219138944,Ambient Conditions
27,11.15794933,1.647182035,1.602139755,Ambient Conditions
29,4.28709385,1.028113827,1.515716567,Ambient Conditions
29,8,2.158456473,2.345669898,Ambient Conditions
29,7.412704495,2.394957409,2.128740365,Ambient Conditions
29,8.938297105,1.972465409,3.095129987,Ambient Conditions
29,8.282119391,1.945309895,2.0139111,Ambient Conditions
29,5.656854249,3.073750363,3.386981249,Ambient Conditions
31,2.67585511,1.986184991,2.584705661,Ambient Conditions
31,1.986184991,3.458148925,2.751083636,Ambient Conditions
31,2.445280555,1.347233577,2.313376368,Ambient Conditions
31,3.182145935,1.790050142,3.340351678,Ambient Conditions
31,2.584705661,2.056227653,3.630076621,Ambient Conditions
31,4.28709385,4.141059695,5.578974665,Ambient Conditions
33,0.712025098,1.140763716,0.611320139,Ambient Conditions
33,0.426317446,2.549121255,0.598739352,Ambient Conditions
33,0.664342907,1.515716567,5.979396995,Ambient Conditions
33,0.381564802,1.777685362,5.979396995,Ambient Conditions
33,0.692554734,2.203810232,3.655325801,Ambient Conditions
33,0.840896415,0.543367431,2.313376368,Ambient Conditions
35,0.38958229,2.0139111,6.408559021,Ambient Conditions
35,1.265756594,1.265756594,5.098242509,Ambient Conditions
35,0.901250463,0.646176415,5.815890069,Ambient Conditions
35,0.420448208,0.570381858,7.674112955,Ambient Conditions
35,0.846745312,0.920187651,9.986644391,Ambient Conditions
37,0.20877198,0.712025098,2.37841423,Ambient Conditions
37,0.183010712,0.517632462,4.856779538,Ambient Conditions
37,0.25348987,0.447512535,2.428389769,Ambient Conditions
37,0.438302861,0.702222438,5.028053498,Ambient Conditions
37,0.598739352,0.664342907,3.863745316,Ambient Conditions
39,0.176776695,0.303548721,2.989698497,Ambient Conditions
39,0.228457863,0.41754396,4.924577653,Ambient Conditions
39,0.154963462,0.269807059,1.021012126,Ambient Conditions
39,0.378929142,0.269807059,2.694467154,Ambient Conditions
39,0.205897754,0.115023456,1.283425898,Ambient Conditions
11,0.111105335,0.174342958,0.959264119,Warm
11,0.13030822,0.429282718,1.840375301,Warm
11,0.121581868,0.21915143,1.433955248,Warm
11,0.441351498,0.466516496,1.375541818,Warm
11,0.118257206,0.180491149,1,Warm
11,0.120742041,0.248273124,1.172834949,Warm
13,0.03125,0.066985841,0.489710149,Warm
13,0.033031814,0.062934722,0.993092495,Warm
13,0.027204705,0.089622203,1.071773463,Warm
13,0.037162722,0.151774361,1.079228237,Warm
13,0.033261568,0.067920929,0.5,Warm
13,0.038473263,0.094732285,1.164733586,Warm
15,0.015409886,0.045752678,0.373712312,Warm
15,0.013888167,0.032352029,0.77916458,Warm
15,0.041234622,0.07588718,1.231144413,Warm
15,0.028557233,0.089622203,0.812252396,Warm
15,0.016288528,0.041521432,0.692554734,Warm
15,0.015092755,0.045436641,0.986232704,Warm
17,0.03794359,0.066523136,0.562529242,Warm
17,0.073302184,0.071297732,0.742261785,Warm
17,0.196146024,0.087777805,0.726986259,Warm
17,0.057911754,0.064704058,0.598739352,Warm
17,0.052556026,0.057511728,0.510506063,Warm
17,0.029157281,0.05366034,0.801069878,Warm
19,0.210224104,0.11907975,0.482968164,Warm
19,0.301451957,0.095391201,0.532185091,Warm
19,0.220675749,0.102948877,0.493116352,Warm
19,0.752623374,0.153893052,0.678302164,Warm
19,0.353553391,0.149684838,,Warm
21,4.169863043,0.332171454,0.615572207,Warm
21,5.241573615,0.41754396,1.079228237,Warm
21,4.084048503,0.429282718,0.858565436,Warm
21,4.59479342,0.334481889,0.707106781,Warm
21,2.732080514,0.258816231,0.550952558,Warm
23,12.99603834,0.939522749,2.713208655,Warm
23,10.70342044,0.795536484,1.681792831,Warm
23,13.64215827,0.846745312,2,Warm
23,12.29500145,0.77916458,1.624504793,Warm
23,11.00433455,0.476318999,0.615572207,Warm
23,14.2214829,1.049716684,2.250116969,Warm
25,40.78594007,3.294364069,4.377174805,Warm
25,22.00866909,1.647182035,2.694467154,Warm
25,17.50869922,1.972465409,2.549121255,Warm
25,21.85664411,1.433955248,2.808889751,Warm
25,27.47409397,2.114036081,2.281527432,Warm
27,13.92880901,3.317278183,3.630076621,Warm
27,18.25221945,2.602683711,3.294364069,Warm
27,16,4.055837919,3.732131966,Warm
27,13.547925,2.620786808,2.265767771,Warm
27,17.26765178,3.052518418,2.867910496,Warm
27,8.938297105,1.658639092,1.892115293,Warm
29,4.658934346,1.248330549,1.777685362,Warm
29,20.82146969,4.691339797,3.784230587,Warm
29,6.02098699,1.328685814,2.219138944,Warm
29,4.9588308,1.670175839,4.112455307,Warm
29,8.633825892,1.693490625,2.514026749,Warm
31,2.969047141,2.188587403,3.758090997,Warm
31,5.938094283,1.729074463,6.062866266,Warm
31,3.91768119,2.4794154,4.500233939,Warm
31,1.790050142,1,2.67585511,Warm
31,6.453134074,2.428389769,3.095129987,Warm
31,2.411615655,2.056227653,3.837056477,Warm
33,0.582366793,1.526259209,5.979396995,Warm
33,0.737134609,0.697371833,2.462288827,Warm
33,1.140763716,1.301341855,4.34693945,Warm
35,0.562529242,0.566441943,5.735820992,Warm
35,0.332171454,1.132883885,6.773962499,Warm
35,0.146604369,1.536875181,11.00433455,Warm
35,0.406126198,1.101905116,4.34693945,Warm
37,0.926588062,0.558643569,4.789914818,Warm
37,1.00695555,0.864537231,8.111675838,Warm
37,0.175555609,0.806641759,8.6938789,Warm
39,0.351111219,0.244855074,1.986184991,Warm
11,0.211686328,0.295248165,1.021012126,Chill
11,0.25,0.590496331,1.01395948,Chill
11,0.13490353,0.524858342,1.028113827,Chill
11,0.10732068,0.381564802,0.959264119,Chill
11,0.119908015,0.269807059,1.021012126,Chill
11,0.251738888,0.543367431,1.433955248,Chill
13,0.083620472,0.171942727,0.952637998,Chill
13,0.121581868,0.293208737,1.042465761,Chill
13,0.097395572,0.343885455,0.77916458,Chill
