Time,Irradiance,Temperature,Condition
11.03,328.54879,28.159,Ambient Conditions
11.08,412.77663,28.456,Ambient Conditions
11.13,433.31508,28.655,Ambient Conditions
11.18,364.89989,28.953,Ambient Conditions
11.23,409.96786,29.152,Ambient Conditions
11.28,386.01746,29.452,Ambient Conditions
11.33,277.33492,29.452,Ambient Conditions
11.38,303.61187,29.053,Ambient Conditions
11.43,157.43117,28.754,Ambient Conditions
11.48,192.97019,29.352,Ambient Conditions
11.53,210.80026,28.258,Ambient Conditions
11.58,176.27582,27.764,Ambient Conditions
12.03,128.30187,27.272,Ambient Conditions
12.08,123.81999,27.862,Ambient Conditions
12.13,125.09232,28.555,Ambient Conditions
12.18,130.13526,27.961,Ambient Conditions
12.23,91.4495,27.272,Ambient Conditions
12.28,72.09241,26.781,Ambient Conditions
12.33,83.22129,26.585,Ambient Conditions
12.38,52.06752,26.39,Ambient Conditions
12.43,42.14227,26.39,Ambient Conditions
12.48,29.7771,25.902,Ambient Conditions
12.53,22.93318,25.805,Ambient Conditions
12.58,23.65917,25.708,Ambient Conditions
13.03,17.22601,25.416,Ambient Conditions
13.08,14.6226,25.028,Ambient Conditions
13.13,16.73896,24.835,Ambient Conditions
13.18,25.93111,24.738,Ambient Conditions
13.23,20.26776,24.545,Ambient Conditions
13.28,14.17434,24.448,Ambient Conditions
13.33,13.48999,24.351,Ambient Conditions
13.38,8.62541,24.062,Ambient Conditions
13.43,5.14183,23.869,Ambient Conditions
13.48,4.10985,23.677,Ambient Conditions
13.53,1.20948,23.581,Ambient Conditions
13.58,0.23379,23.773,Ambient Conditions
14.03,0.41369,23.869,Ambient Conditions
14.08,0.23724,23.869,Ambient Conditions
14.13,0.0645,23.869,Ambient Conditions
14.18,0.07118,23.966,Ambient Conditions
14.23,0.3711,24.158,Ambient Conditions
14.28,0.19221,24.351,Ambient Conditions
14.33,0.14118,24.255,Ambient Conditions
14.38,0.16211,24.158,Ambient Conditions
14.43,0.26448,24.062,Ambient Conditions
14.48,0.22048,23.869,Ambient Conditions
14.53,0.18175,23.773,Ambient Conditions
14.58,0.31336,23.773,Ambient Conditions
15.03,0.27382,23.773,Ambient Conditions
15.08,0.30061,23.773,Ambient Conditions
15.13,0.10549,23.773,Ambient Conditions
15.18,0.17574,23.869,Ambient Conditions
15.23,0.15708,23.773,Ambient Conditions
15.28,0.15003,23.677,Ambient Conditions
