Time,CCA1,SIG5,BLRP,Condition
8,0.578344092,0.476318999,0.291183397,Sun
8,0.939522749,2.173469725,1.164733586,Sun
8,1.464085696,2.584705661,1.164733586,Sun
8,0.876605721,0.965936329,1.035264924,Sun
8,1.729074463,1.484523571,1.197478705,Sun
8,1.385109468,3.706352248,2.02791896,Sun
10,0.732042848,1.433955248,0.907519155,Sun
10,0.570381858,0.463294031,0.496546248,Sun
10,1.274560627,1.292352831,1.094293701,Sun
10,0.757858283,0.590496331,0.637280314,Sun
10,1.602139755,2.948538435,3.91768119,Sun
10,0.757858283,1.866065983,1.172834949,Sun
12,0.444421341,0.532185091,0.360982299,Sun
12,0.77916458,1.681792831,1.328685814,Sun
12,0.852634892,0.641712949,0.61985385,Sun
12,0.687770909,0.20166044,0.386891248,Sun
12,2.128740365,1.905275996,3.317278183,Sun
12,0.460093825,0.673616788,0.602903914,Sun
14,0.952637998,0.444421341,0.450625231,Sun
14,1.164733586,1.624504793,1.197478705,Sun
14,1.337927555,0.835087919,0.562529242,Sun
14,0.959264119,0.547146851,0.965936329,Sun
14,1,0.517632462,0.952637998,Sun
14,1.042465761,1.086734863,1.117287138,Sun
16,0.986232704,0.309926925,0.316439148,Sun
16,1.394743666,0.959264119,1.00695555,Sun
16,2.37841423,1.172834949,0.784584098,Sun
16,1.301341855,0.554784736,0.817902059,Sun
16,1.945309895,0.882702996,0.91383145,Sun
16,1.222640278,0.514056913,0.895025071,Sun
18,2.345669898,0.562529242,0.712025098,Sun
18,2.602683711,1.140763716,1.283425898,Sun
18,2.828427125,0.801069878,0.570381858,Sun
18,3.60500185,1.375541818,0.939522749,Sun
18,3.340351678,0.411795509,0.91383145,Sun
18,3.530811985,0.594603558,0.895025071,Sun
20,1.931872658,0.210224104,0.149684838,Sun
20,1.918528239,0.373712312,0.637280314,Sun
20,4.691339797,0.952637998,0.895025071,Sun
20,3.506422885,1.035264924,0.965936329,Sun
20,4.890561111,2.070529848,3.530811985,Sun
20,2.099433367,0.353553391,0.496546248,Sun
22,3.944930818,1.132883885,1.328685814,Sun
22,3.482202253,0.920187651,0.901250463,Sun
22,2.67585511,0.535886731,0.41754396,Sun
22,5.42641731,0.41754396,0.615572207,Sun
22,3.89061979,0.384218795,0.668963777,Sun
24,3.410539567,0.353553391,0.171942727,Sun
24,2.789487333,0.52123288,0.673616788,Sun
24,3.680750602,0.316439148,0.316439148,Sun
24,4.438277888,1.414213562,0.801069878,Sun
24,5.388934307,0.737134609,1.986184991,Sun
24,3.91768119,0.444421341,0.795536484,Sun
26,3.732131966,0.784584098,0.510506063,Sun
26,3.363585661,0.678302164,0.895025071,Sun
26,7.621103984,0.558643569,0.397768242,Sun
26,4.890561111,0.180491149,0.371130893,Sun
26,5.775716782,0.426317446,1.180992661,Sun
28,7.06162397,0.460093825,0.628506687,Sun
28,1.741101127,0.607097442,0.795536484,Sun
28,2.250116969,0.178006274,0.100133735,Sun
28,3.580100284,0.959264119,1.972465409,Sun
28,3.810551992,0.737134609,1.635804117,Sun
28,2.188587403,0.496546248,0.607097442,Sun
30,1.265756594,1.283425898,0.77916458,Sun
30,0.697371833,0.852634892,0.655196702,Sun
30,3.732131966,1.717130873,1.274560627,Sun
30,1.547564994,1.248330549,1.741101127,Sun
30,4.890561111,3.655325801,4.924577653,Sun
30,0.979420298,1.337927555,0.637280314,Sun
32,0.823591017,0.566441943,0.486327474,Sun
32,0.773782497,2.848100391,2.602683711,Sun
32,1.905275996,1.00695555,1.035264924,Sun
32,0.463294031,0.291183397,0.38958229,Sun
32,0.554784736,0.582366793,0.790041312,Sun
8,2.525254113,1.717130873,0.636334454,Shade
8,1.82314407,1.117287138,0.39994046,Shade
8,2.82143394,4.0278222,1.556016267,Shade
8,1.450377623,1.180992661,0.431627037,Shade
8,2.525254113,1.414213562,0.715913477,Shade
8,2.008931777,1.125058485,0.8513694,Shade
10,0.892812154,0.852634892,0.56953529,Shade
10,1.099180695,2.848100391,0.70118019,Shade
10,0.644578767,1.2397077,0.70118019,Shade
10,0.976998716,1.197478705,1.055449201,Shade
10,1.122276818,1.547564994,0.918821896,Shade
10,1.202826511,0.125869444,0.113271525,Shade
12,0.950282635,1.670175839,1.026587887,Shade
12,0.495318555,7.568461174,0.456237565,Shade
12,1.253905454,2.989698497,1.566839216,Shade
12,1.298124334,1.156688184,0.977966629,Shade
12,0.970250093,1.2397077,0.715913477,Shade
14,1.391295213,3.784230587,1.513466921,Shade
14,1.153828314,1.086734863,0.778008134,Shade
14,1.253905454,1.494849249,1.204018152,Shade
14,1.74887669,1.526259209,0.944653496,Shade
14,0.725188811,0.216134308,0.254874182,Shade
14,2.022905003,2.361985323,1.577737445,Shade
16,1.202826511,1.777685362,0.75150632,Shade
16,0.868398158,0.273573425,0.246192231,Shade
16,1.069123541,0.463294031,0.577485706,Shade
16,4.017863555,1.591072968,1.775046899,Shade
16,2.323707649,1.132883885,0.931648172,Shade
16,0.609808672,0.332171454,0.254874182,Shade
18,4.045810006,2.281527432,1.048158681,Shade
18,3.332092778,1.918528239,0.75673346,Shade
18,3.003050158,0.752623374,0.828088659,Shade
18,2.900755245,0.351111219,0.41404433,Shade
18,4.045810006,1.231144413,0.70118019,Shade
18,1.554476246,0.25348987,0.416924236,Shade
20,5.80151049,3.116658319,1.123388658,Shade
20,2.841058565,1.01395948,0.294809954,Shade
20,4.980976386,1.180992661,0.944653496,Shade
20,9.893140538,1.310393404,1.98323707,Shade
20,5.192497338,1,0.706057284,Shade
20,5.565180851,1.189207115,1.195701391,Shade
22,4.017863555,0.615572207,0.542560958,Shade
22,4.07395084,0.795536484,0.307329283,Shade
22,3.571248614,0.411795509,0.783419608,Shade
22,7.292576279,0.539614118,0.8513694,Shade
22,3.130576968,0.063372467,0.11017411,Shade
24,3.066150625,0.466516496,0.4256847,Shade
24,5.413000688,0.864537231,0.531395215,Shade
24,5.192497338,0.726986259,0.778008134,Shade
24,8.493908523,0.168404197,0.114059391,Shade
24,2.82143394,0.334481889,0.459410948,Shade
26,3.827569493,0.234880687,0.265697608,Shade
26,5.121010693,0.795536484,0.280847165,Shade
26,11.9292263,1.265756594,1.373500221,Shade
26,7.497598504,0.668963777,0.62757385,Shade
26,9.689542649,0.959264119,0.91247513,Shade
26,8.916197486,0.438302861,0.8513694,Shade
28,8.204574817,1.741101127,1.070182723,Shade
28,4.130821074,1.319507911,0.069726803,Shade
28,2.614307007,0.112656308,0.18787658,Shade
28,9.166865917,0.420448208,0.41404433,Shade
28,6.527038601,0.320856474,0.360446524,Shade
28,10.24202139,0.812252396,0.899912815,Shade
30,4.130821074,1.086734863,0.931648172,Shade
30,5.80151049,0.876605721,0.350590095,Shade
30,5.488563362,1.918528239,0.893696663,Shade
30,3.571248614,0.299369676,0.20276171,Shade
30,5.015621817,0.517632462,0.465824086,Shade
30,6.006100316,5.314743256,1.889306992,Shade
32,1.701053565,3.972369982,1.354590838,Shade
32,2.153119767,1.248330549,1.154971412,Shade
32,2.507810908,1.257013375,1.345233995,Shade
